id,username,text,label
1.53848E+18,cekfaktacom, Perhelatan Puncak Balapan Formula E Sepi Penonton    Beredar video yang diunggah oleh akun Facebook bernama Erikprayogi Erikprayogi terkait sepinya penonton pada ajang perhelatan puncak balapan Formula E yang diselenggarakan di Jakarta pada tanggal 4 Juni 2022 lalu.  https://t.co/6i345CL4rp,0
1.53848E+18,cekfaktacom,"Faktanya, Komisaris PT Persib Bandung Bermartabat (PBB), Umuh Muchtar menyatakan bahwa informasi terkait diadakannya nonton gratis pertandingan sepakbola antara Persib Bandung dan Bali United di Stadion GBLA adalah informasi salah atau hoax.",0
1.53848E+18,cekfaktacom, Nonton Gratis Pertandingan Sepakbola Antara Persib Bandung dan Bali United di Stadion GBLA  https://t.co/gno27PK20p,0
1.53806E+18,cekfaktacom, Albert Einstein: “Kejahatan ada ketika manusia tidak memiliki kehadiran Tuhan di dalam hatinya.”    Akun Facebook Saladin menyebarluaskan narasi mengenai Albert Einstein yang mengatakan bahwa kejahatan ada ketika manusia tidak memiliki kehadiran Tuhan di hatinya.  https://t.co/QipvVMKaiT,0
1.53806E+18,cekfaktacom, Surat Pengangkatan Tenaga Honorer Menjadi PNS Tahun 2022 Oleh Menteri PANRB  https://t.co/8oWnxJ90MV,0
1.53806E+18,cekfaktacom, POSTER FESTIVAL LELANG TAHUNAN OLEH DJKN  https://t.co/vhXFNkTcSW,0
1.53805E+18,cekfaktacom, Menko Luhut Minta Warga dan Para Lansia Tidak Keluar Rumah Selama Sebulan ke Depan    Beredar pesan yang dibagikan ulang berkali-kali yang memperlihatkan judul dari dua berita Liputan 6 mengenai Menko Luhut.  https://t.co/BCnF7EaY2j,0
1.53768E+18,cekfaktacom, Meminum Rebusan Tepung Kanji Dan Gula Merah Secara Rutin Dapat Menyembuhkan Asam Lambung    Beredar sebuah unggahan di media sosial yang mengklaim bahwa meminum rebusan tepung kanji dan gula merah secara rutin dapat menyembuhkan asam lambung.  https://t.co/xRNj4uJ7iH,0
1.53768E+18,cekfaktacom,: Cara Cek Asam Urat Normal Atau Tidak Dengan Menekuk Semua Jari Menyentuh Telapak Tangan    Sebuah akun Tiktok mengunggah video yang memperlihatkan gerakan jari yang diklaim bisa mengecek apakah seseorang memiliki asam urat normal atau tidak.  https://t.co/NWm1L3rb95,0
1.53735E+18,cekfaktacom, Acha Septriasa Meninggal Dunia  Beredar sebuah narasi di media sosial Facebook oleh akun Villa Chipoy yang menginformasikan bahwa Acha Septriasa meninggal dunia.  https://t.co/aqf5reLgmx,0
1.53735E+18,cekfaktacom," Foto “Masjid Meledak di kota Narayanganj, Bangladesh saat sholat Sebanyak 120 Jamaah Meninggal Dunia”  https://t.co/4dqN9BcTaP",0
1.53735E+18,cekfaktacom, “Waspada! Seluruh Pasien Cacar Monyet di Spanyol adalah Penyuka Sesama Jenis alias Homo”  https://t.co/4FExgHfk9c,0
1.53707E+18,cekfaktacom, Video “Aceh siapkan Haji lepas dari Menag”  Akun Twitter dengan nama pengguna “Tatum_alattas” mengunggah sebuah video yang menunjukkan pernyataan salah satu anggota dewa terkait Aceh yang menyiapkan pelaksanaan haji yang terlepas dari Kementerian Agama.,0
1.53707E+18,cekfaktacom, Panggilan Interview Kerja oleh PT Petrogas Jatim Utama Melalui WhatsApp  Beredar informasi melalui WhatsApp terkait dengan panggilan interview kerja di PT Petrogas Jatim Utama.  https://t.co/gUicUWExn2,0
1.53707E+18,cekfaktacom, Tiket Masuk Candi Borobudur naik karena patung “I Gede Utange Jokowi”  Beredar sebuah postingan gambar oleh akun facebook Yarpin Siregar pada 12 Juni 2022.  https://t.co/wKe9ylJztA,0
1.53707E+18,cekfaktacom, Video iring-iringan jenazah Eril  Beredar sebuah postingan video oleh akun TikTok dunia_konten_ pada 12 Juni 2022. Video pada postingan tersebut diklaim merupakan iring-iringan jenazah Eril yang dipulangkan ke Indonesia.  https://t.co/g5JyUiNglG,0
1.53668E+18,cekfaktacom, Video “Hati2 buah tak berbiji berbahaya dan haram”  Akun Facebook dengan nama pengguna “Aiiu Sep Tika” mengunggah sebuah video yang menyatakan bahwa buah tanpa biji hasil rekayasa genetik dapat menyebabkan dampak berbahaya bagi kesehatan manusia.  https://t.co/jCItCbvhzI,0
1.53668E+18,cekfaktacom,"Faktanya, foto yang diunggah di Twitter tersebut merupakan foto Kota Seattle, bukan salah satu kota di Jawa Tengah.  Selengkapnya di  https://t.co/v6Z2aVYxaK #cekfakta #periksafakta",0
1.53668E+18,cekfaktacom, Foto Kota di Jawa Tengah  Akun Twitter @/Ozil855282201 mengunggah sebuah foto yang diklaim sebagai foto Kota Semarang di Jawa Tengah. Akun tersebut juga menyuarakan rasa kasihannya terhadap warga Jawa Tengah.  https://t.co/7AFFBdrCH0,0
1.53668E+18,cekfaktacom, Surya Paloh Sebut Anies Baswedan adalah Kandidat Capres 2024 dari Partai Nasdem  https://t.co/iFU8x4QuG2,0
1.53628E+18,cekfaktacom, Formula E Tidak Disiarkan oleh TV Nasional  Beredar sebuah unggahan di media sosial Facebook tentang gelaran balap Formula E yang diklaim tidak ditayangkan secara langsung oleh TV Nasional. Klaim ini kemudian diunggah pada tanggal 4 Juni 2022.  https://t.co/eOqLDMVroM,0
1.53628E+18,cekfaktacom, Ilmuwan Pembuat Virus Corona Telah Ditangkap  https://t.co/4ha8sltZeN,0
